,Title,Price,Processor,Ram(GBs),Storage(GBs),Display(cm),Operating System,Brand,Processor Brand
150,ASUS TUF Gaming F15 Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,64990.0,Intel Core i5 Processor (12th Gen),16,512,39.62,1,ASUS,INTEL
151,DELL G3 Intel Core i5 10th Gen 10300H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA...,71990.0,Intel Core i5 Processor (10th Gen),8,1024,39.62,1,DELL,INTEL
152,HP Omen Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,120990.0,Intel Core i7 Processor (13th Gen),16,1024,40.89,1,HP,INTEL
153,MSI GF63 Thin Intel Core i7 10th Gen 10750H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/...,70990.0,Intel Core i7 Processor (10th Gen),8,1024,39.62,1,MSI,INTEL
154,MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,91190.0,AMD Ryzen 7 Octa Core Processor,16,512,39.62,1,MSI,AMD
155,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,70050.0,Intel Core i5 Processor (12th Gen),16,512,39.62,1,HP,INTEL
156,ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,69742.0,AMD Ryzen 5 Hexa Core Processor,16,512,39.62,1,ASUS,AMD
157,Lenovo Ideapad Gaming 3i Intel Core i5 10th Gen 10300H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 G...,69990.0,Intel Core i5 Processor (10th Gen),8,1024,39.62,1,LENOVO,INTEL
158,ASUS Intel Ryzen 7 Octa Core 6th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/AMD Radeon ?AMD R...,121999.0,Intel Ryzen 7 Octa Core Processor (6th Gen),16,1024,35.56,1,ASUS,INTEL
159,Acer AMD Ryzen 7 Octa Core 8845HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4...,109500.0,AMD Ryzen 7 Octa Core Processor,16,1024,40.64,1,ACER,AMD
160,MSI Stealth 18 Studio AI PC Intel Core Ultra 9 1st Gen 185H - (32 GB/2 TB SSD/Windows 11 Home/12 GB Gr...,289990.0,Intel Core Ultra 9 Processor (1st Gen),32,2048,45.72,1,MSI,INTEL
161,ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* AMD Ryzen 9 16 Core 8940HX - (16 GB/1 TB SSD/...,239990.0,AMD Ryzen 9 16 Core Processor,16,1024,40.64,1,ASUS,AMD
162,Lenovo Legion 5 Intel Core i7 11th Gen 11800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,126065.0,Intel Core i7 Processor (11th Gen),16,512,39.62,1,LENOVO,INTEL
163,Acer Nitro 5 AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,78500.0,AMD Ryzen 7 Octa Core Processor,16,512,39.62,1,ACER,AMD
